file,flow_file,length,width,height,label
/mnt/d/Datasets/hmdb51_org/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_0.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_0.avi,409,320.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_1.avi,395,320.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_2.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_2.avi,323,320.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0.avi,157,320.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1.avi,130,320.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,246,416.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi,159,416.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi,137,416.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,359,416.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi,191,416.0,240.0,0
/mnt/d/Datasets/hmdb51_org/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi,439,320.0,240.0,0
