,file,flow_file,length,width,height,label
4646,/mnt/d/Datasets/hmdb51_org/situp/5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_3.avi,/mnt/d/Datasets/hmdb51_org_img/situp/5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_fr_goo_3.avi,109,320.0,240.0,38
4602,/mnt/d/Datasets/hmdb51_org/sit/RETURN_OF_THE_KING_sit_f_nm_np1_le_bad_8.avi,/mnt/d/Datasets/hmdb51_org_img/sit/RETURN_OF_THE_KING_sit_f_nm_np1_le_bad_8.avi,78,560.0,240.0,37
4774,/mnt/d/Datasets/hmdb51_org/smile/Re-_Show_your_Smile!_9_smile_h_nm_np1_fr_med_0.avi,/mnt/d/Datasets/hmdb51_org_img/smile/Re-_Show_your_Smile!_9_smile_h_nm_np1_fr_med_0.avi,80,424.0,240.0,39
1651,/mnt/d/Datasets/hmdb51_org/fencing/Swordplay_Alliance_Rapier_and_Dagger_fight_fencing_f_cm_np2_le_bad_4.avi,/mnt/d/Datasets/hmdb51_org_img/fencing/Swordplay_Alliance_Rapier_and_Dagger_fight_fencing_f_cm_np2_le_bad_4.avi,55,320.0,240.0,13
4426,/mnt/d/Datasets/hmdb51_org/shoot_gun/FirearmsTraining_shoot_gun_f_nm_np1_ri_med_7.avi,/mnt/d/Datasets/hmdb51_org_img/shoot_gun/FirearmsTraining_shoot_gun_f_nm_np1_ri_med_7.avi,288,320.0,240.0,36
1392,/mnt/d/Datasets/hmdb51_org/eat/SocialSeminarGuy_eat_u_cm_np1_fr_med_0.avi,/mnt/d/Datasets/hmdb51_org_img/eat/SocialSeminarGuy_eat_u_cm_np1_fr_med_0.avi,102,320.0,240.0,11
4090,/mnt/d/Datasets/hmdb51_org/shake_hands/Meeting_with_Boyko_Borisov__Prime_Minister_of_Bulgaria_shake_hands_u_cm_np2_le_med_1.avi,/mnt/d/Datasets/hmdb51_org_img/shake_hands/Meeting_with_Boyko_Borisov__Prime_Minister_of_Bulgaria_shake_hands_u_cm_np2_le_med_1.avi,109,300.0,240.0,33
92,/mnt/d/Datasets/hmdb51_org/brush_hair/rebecca_golden_hair_brush_hair_h_nm_np1_ba_goo_0.avi,/mnt/d/Datasets/hmdb51_org_img/brush_hair/rebecca_golden_hair_brush_hair_h_nm_np1_ba_goo_0.avi,259,320.0,240.0,0
4778,/mnt/d/Datasets/hmdb51_org/smile/Return_of_the_King_4_smile_h_nm_np1_fr_goo_4.avi,/mnt/d/Datasets/hmdb51_org_img/smile/Return_of_the_King_4_smile_h_nm_np1_fr_goo_4.avi,71,352.0,240.0,39
3930,/mnt/d/Datasets/hmdb51_org/run/TheLastManOnearth_run_f_cm_np1_ba_med_39.avi,/mnt/d/Datasets/hmdb51_org_img/run/TheLastManOnearth_run_f_cm_np1_ba_med_39.avi,72,320.0,240.0,32
